m,TagName,
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","javascript","4951"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5396"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1462"
"2011-01-01 00:00:00","delphi","370"
"2011-01-01 00:00:00","assembly","135"
"2011-01-01 00:00:00","c#","7989"
"2011-01-01 00:00:00","java","6540"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","479"
"2011-01-01 00:00:00","javascript","5426"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3499"
"2011-01-01 00:00:00","php","6443"
"2011-01-01 00:00:00","python","2904"
"2011-01-01 00:00:00","swift","3"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","java","6872"
"2011-02-01 00:00:00","c#","8228"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6718"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c++","3448"
"2011-02-01 00:00:00","c","1640"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","5"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3015"
"2011-02-01 00:00:00","delphi","360"
"2011-03-01 00:00:00","php","8120"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3750"
"2011-03-01 00:00:00","javascript","6771"
"2011-03-01 00:00:00","c#","9992"
"2011-03-01 00:00:00","c","2110"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8481"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7898"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","c#","9283"
"2011-04-01 00:00:00","c","2041"
"2011-04-01 00:00:00","php","7664"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c++","4168"
"2011-04-01 00:00:00","javascript","6879"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","python","3344"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3884"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10022"
"2011-05-01 00:00:00","java","8570"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","delphi","477"
"2011-05-01 00:00:00","go","37"
"2011-05-01 00:00:00","c","1826"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8112"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3518"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3475"
"2011-06-01 00:00:00","c#","9766"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","javascript","7688"
"2011-06-01 00:00:00","c","1765"
"2011-06-01 00:00:00","c++","3816"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","ruby","1559"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7916"
"2011-06-01 00:00:00","php","8055"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9612"
"2011-07-01 00:00:00","javascript","8114"
"2011-07-01 00:00:00","java","8168"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3852"
"2011-07-01 00:00:00","php","8718"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3666"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3833"
"2011-08-01 00:00:00","javascript","8913"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1822"
"2011-08-01 00:00:00","c#","10076"
"2011-08-01 00:00:00","c++","3955"
"2011-08-01 00:00:00","java","8700"
"2011-08-01 00:00:00","php","8960"
"2011-08-01 00:00:00","perl","615"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1917"
"2011-09-01 00:00:00","python","3522"
"2011-09-01 00:00:00","javascript","8202"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1550"
"2011-09-01 00:00:00","java","8341"
"2011-09-01 00:00:00","c#","9310"
"2011-09-01 00:00:00","c++","3947"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8096"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8570"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4355"
"2011-10-01 00:00:00","javascript","8041"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","c#","9231"
"2011-10-01 00:00:00","c","2139"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8092"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3628"
"2011-10-01 00:00:00","ruby","1617"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","210"
"2011-11-01 00:00:00","javascript","8691"
"2011-11-01 00:00:00","java","9661"
"2011-11-01 00:00:00","c#","9916"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4487"
"2011-11-01 00:00:00","c","2202"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8714"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9217"
"2011-12-01 00:00:00","php","8366"
"2011-12-01 00:00:00","c#","9324"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","javascript","8348"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","539"
"2011-12-01 00:00:00","c++","4364"
"2011-12-01 00:00:00","python","3625"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1687"
"2012-01-01 00:00:00","java","10158"
"2012-01-01 00:00:00","javascript","9606"
"2012-01-01 00:00:00","c#","10465"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","170"
"2012-01-01 00:00:00","php","9349"
"2012-01-01 00:00:00","c++","4550"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1908"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4215"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","javascript","9994"
"2012-02-01 00:00:00","python","4494"
"2012-02-01 00:00:00","java","10973"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5107"
"2012-02-01 00:00:00","c#","10770"
"2012-02-01 00:00:00","c","2408"
"2012-02-01 00:00:00","php","9966"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","ruby","2048"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","499"
"2012-03-01 00:00:00","c++","5245"
"2012-03-01 00:00:00","java","12416"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11611"
"2012-03-01 00:00:00","c","2738"
"2012-03-01 00:00:00","javascript","10720"
"2012-03-01 00:00:00","php","10930"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","python","5047"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2195"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12049"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","php","10436"
"2012-04-01 00:00:00","c","2673"
"2012-04-01 00:00:00","c++","5313"
"2012-04-01 00:00:00","perl","601"
"2012-04-01 00:00:00","c#","11137"
"2012-04-01 00:00:00","python","4924"
"2012-04-01 00:00:00","javascript","10683"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1972"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c++","4990"
"2012-05-01 00:00:00","c#","11584"
"2012-05-01 00:00:00","java","12196"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","javascript","11526"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2484"
"2012-05-01 00:00:00","perl","644"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","php","10962"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5103"
"2012-06-01 00:00:00","java","11116"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11327"
"2012-06-01 00:00:00","javascript","11244"
"2012-06-01 00:00:00","assembly","203"
"2012-06-01 00:00:00","c","2312"
"2012-06-01 00:00:00","c++","4655"
"2012-06-01 00:00:00","php","10608"
"2012-06-01 00:00:00","python","5281"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5287"
"2012-07-01 00:00:00","c","2373"
"2012-07-01 00:00:00","c#","12323"
"2012-07-01 00:00:00","java","12263"
"2012-07-01 00:00:00","python","5728"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12310"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","swift","6"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","php","11760"
"2012-07-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","php","11921"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11954"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5166"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5867"
"2012-08-01 00:00:00","c","2318"
"2012-08-01 00:00:00","javascript","12433"
"2012-08-01 00:00:00","perl","763"
"2012-08-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","java","12259"
"2012-08-01 00:00:00","swift","5"
"2012-08-01 00:00:00","r","1089"
"2012-09-01 00:00:00","javascript","11170"
"2012-09-01 00:00:00","c","2532"
"2012-09-01 00:00:00","c#","11284"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11633"
"2012-09-01 00:00:00","c++","4912"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11014"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","664"
"2012-09-01 00:00:00","python","5256"
"2012-09-01 00:00:00","r","1060"
"2012-09-01 00:00:00","ruby","1960"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12723"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5916"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12427"
"2012-10-01 00:00:00","assembly","315"
"2012-10-01 00:00:00","c","3153"
"2012-10-01 00:00:00","python","6138"
"2012-10-01 00:00:00","java","13508"
"2012-10-01 00:00:00","php","11823"
"2012-10-01 00:00:00","swift","4"
